,byline,critics_pick,date_updated,display_title,headline,link.suggested_link_text,link.type,link.url,mpaa_rating,multimedia,multimedia.height,multimedia.src,multimedia.type,multimedia.width,opening_date,publication_date,summary_short
8,A. O. SCOTT,0,2017-11-02 04:18:26,Moana,"Review: ‘Moana,’ Brave Princess on a Voyage With a Chicken",Read the New York Times Review of Moana,article,http://www.nytimes.com/2016/11/22/movies/moana-review.html,PG,,140.0,https://static01.nyt.com/images/2016/11/23/arts/23MOANA/23MOANA-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-23,2016-11-22,"In Disney’s new animated adventure, the daughter of a chief must prove herself while music plays and the sun shines on the sea."
9,BEN KENIGSBERG,0,2017-11-02 04:18:26,Bad Santa 2,Review: ‘Bad Santa 2’ Works Through Mommy Issues,Read the New York Times Review of Bad Santa 2,article,http://www.nytimes.com/2016/11/22/movies/bad-santa-2-review-billy-bob-thornton.html,R,,140.0,https://static01.nyt.com/images/2016/11/23/arts/23BADSANTA/23BADSANTA-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-23,2016-11-22,This sequel addresses two unnecessary questions: What if bad Santa weren’t so bad? And what if he had an estranged and equally foul mother?
10,GLENN KENNY,1,2017-11-02 04:18:26,Bleed for This,Review: ‘Bleed for This’ Is a Boxing Movie That Gets Boxing,Read the New York Times Review of Bleed for This,article,http://www.nytimes.com/2016/11/18/movies/bleed-for-this-review-miles-teller.html,R,,140.0,https://static01.nyt.com/images/2016/11/18/arts/18BLEED/18BLEED-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210.0,2016-11-18,2016-11-17,"The film tells the true story of the brash fighter Vinny Pazienza, who fractured his neck in a car accident but earned his place back in the ring."
11,STEPHEN HOLDEN,1,2017-11-02 04:18:26,The Edge of Seventeen,Review: ‘The Edge of Seventeen’ Takes Teenage Movies to a Higher Place,Read the New York Times Review of The Edge of Seventeen,article,http://www.nytimes.com/2016/11/18/movies/the-edge-of-seventeen-review-hailee-steinfeld.html,R,,140.0,https://static01.nyt.com/images/2016/11/18/arts/18EDGE/18EDGE-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210.0,2016-11-18,2016-11-17,"In its raw honesty, “The Edge of Seventeen,” like “Clueless,” is among the best films about high school kids in years."
12,GLENN KENNY,1,2017-11-02 04:18:26,Uncle Howard,Review: ‘Uncle Howard’ Looks Back at a Filmmaker’s Work Cut Short,Read the New York Times Review of Uncle Howard,article,http://www.nytimes.com/2016/11/18/movies/uncle-howard-review-howard-brookner.html,,,140.0,https://static01.nyt.com/images/2016/10/20/movies/video-uncle-howard/video-uncle-howard-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-18,2016-11-17,"This documentary is a dual portrait of intertwined artists: Howard Brookner, who died of AIDS early in his career, and his nephew Aaron Brookner, now also a filmmaker."
13,NEIL GENZLINGER,1,2017-11-02 04:18:26,The Take,Review: A Pickpocket Is Recruited by the C.I.A. in ‘The Take’,Read the New York Times Review of The Take,article,http://www.nytimes.com/2016/11/18/movies/the-take-review-idris-elba.html,R,,140.0,https://static01.nyt.com/images/2016/11/18/arts/18TAKE1/18TAKE1-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-18,2016-11-17,"Idris Elba and Richard Madden star in this well-executed variation of the buddy-cop formula, set in Paris."
14,MANOHLA DARGIS,0,2017-11-02 04:18:26,Nocturnal Animals,"Review: ‘Nocturnal Animals,’ Brutality Between the Pages and Among the Fabulous",Read the New York Times Review of Nocturnal Animals,article,http://www.nytimes.com/2016/11/18/movies/nocturnal-animals-review-amy-adams-jake-gyllenhaal.html,R,,140.0,https://static01.nyt.com/images/2016/11/18/arts/18NOCTURNAL1/18NOCTURNAL1-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210.0,2016-12-09,2016-11-17,"This thriller, directed by Tom Ford, toggles between the life of a wealthy woman (Amy Adams) and the events in a novel she is reading by her ex-husband."
15,NEIL GENZLINGER,0,2017-11-02 04:18:26,Blood on the Mountain,Review: ‘Blood on the Mountain’ Looks at the Ravages of Coal Mining,Read the New York Times Review of Blood on the Mountain,article,http://www.nytimes.com/2016/11/18/movies/blood-on-the-mountain-review.html,,,140.0,https://static01.nyt.com/images/2016/10/26/movies/video-blood-on-the-mountain/video-blood-on-the-mountain-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-18,2016-11-17,This documentary about the industry in West Virginia is not well made but raises timely issues.
16,ANDY WEBSTER,0,2017-11-02 04:18:26,A Street Cat Named Bob,Review: ‘A Street Cat Named Bob’ Helps His Owner Detox,Read the New York Times Review of A Street Cat Named Bob,article,http://www.nytimes.com/2016/11/18/movies/a-street-cat-named-bob-review-luke-treadaway.html,Not Rated,,140.0,https://static01.nyt.com/images/2016/11/18/arts/18STREETART/18STREETART-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-18,2016-11-17,"With Bob on his shoulder, a homeless busker, James, is able to face just about anything — a negligent father, street ruffians and drug withdrawal."
17,GLENN KENNY,0,2017-11-02 04:18:26,I Am Not Madame Bovary,Review: ‘I Am Not Madame Bovary’ Takes Man Trouble to New Levels,Read the New York Times Review of I Am Not Madame Bovary,article,http://www.nytimes.com/2016/11/18/movies/i-am-not-madame-bovary-review.html,,,140.0,https://static01.nyt.com/images/2016/11/18/arts/18IMNOTBOVARY/18IMNOTBOVARY-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-18,2016-11-17,"A Chinese comedic melodrama, with a divorce of convenience followed by a real jilting, has situational intrigue marred by a labored approach."
18,JEANNETTE CATSOULIS,0,2017-11-02 04:18:26,Magnus,Review: ‘Magnus’ Delves Into the Life of a ‘Mozart of Chess’,Read the New York Times Review of Magnus,article,http://www.nytimes.com/2016/11/18/movies/magnus-review.html,,,140.0,https://static01.nyt.com/images/2016/11/18/arts/18MAGNUS/18MAGNUS-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-18,2016-11-17,"Even fans of chess might struggle to connect with the cursory approach to this documentary’s subject, the prodigy Magnus Carlsen, and to the game itself."
19,A. O. SCOTT,0,2017-11-02 04:18:26,Manchester By the Sea,Review: ‘Manchester by the Sea’ and the Tides of Grief,Read the New York Times Review of Manchester By the Sea,article,http://www.nytimes.com/2016/11/18/movies/manchester-by-the-sea-review-kenneth-lonergan-casey-affleck.html,R,,140.0,https://static01.nyt.com/images/2016/11/18/arts/18MANBYSEA/18MANBYSEA-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-18,2016-11-17,"The film, written and directed by Kenneth Lonergan and starring Casey Affleck, finds a man quietly dealing with tragedies."
0,MANOHLA DARGIS,0,2017-11-02 04:18:26,Fantastic Beasts and Where to Find Them,Review: ‘Fantastic Beasts’ Unleashes J.K. Rowling’s Magic on Old New York,Read the New York Times Review of Fantastic Beasts and Where to Find Them,article,http://www.nytimes.com/2016/11/18/movies/fantastic-beasts-and-where-to-find-them-review-eddie-redmayne-j-k-rowling.html,PG-13,,140.0,https://static01.nyt.com/images/2016/11/18/arts/18FANTASTIC/18FANTASTIC-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-18,2016-11-17,Eddie Redmayne stars as a visitor to the city with a very stuffed magic suitcase in “Fantastic Beasts and Where to Find Them.”
1,A. O. SCOTT,0,2017-11-02 04:18:26,The Illinois Parables,Review: ‘The Illinois Parables’ Soothes and Inflames Feelings About America,Read the New York Times Review of The Illinois Parables,article,http://www.nytimes.com/2016/11/18/movies/the-illinois-parables-review.html,,,140.0,https://static01.nyt.com/images/2016/11/17/arts/illinois-1/illinois-1-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-16,2016-11-16,"This hourlong essay film by Deborah Stratman juxtaposes pastoral images with a chronicle of violence, dispossession and disaster."
2,JEANNETTE CATSOULIS,1,2017-11-02 04:18:26,Hunter Gatherer,Review: ‘Hunter Gatherer’ Profiles Two Men Living on the Margins,Read the New York Times Review of Hunter Gatherer,article,http://www.nytimes.com/2016/11/16/movies/review-hunter-gatherer-profiles-two-men-living-on-the-margins.html,,,140.0,https://static01.nyt.com/images/2016/11/16/arts/16HUNTER/16HUNTER-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-16,2016-11-15,"Running in place is the point of Josh Locy’s film, which spotlights the repetitive daily struggles of those with few resources beyond optimism and resolve."
3,JEANNETTE CATSOULIS,0,2017-11-02 04:18:25,Shut In,Review: ‘Shut In’ (Naomi Watts Should Really Get Out More),Read the New York Times Review of Shut In,article,http://www.nytimes.com/2016/11/12/movies/shut-in-review-naomi-watts.html,PG-13,,140.0,https://static01.nyt.com/images/2016/11/12/arts/12SHUTIN/12SHUTIN-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-11,2016-11-11,"Ms. Watts plays a widowed child psychologist in a big, rambling house with one boy in a vegetative state and another who may be a ghost."
4,MANOHLA DARGIS,1,2017-11-02 04:18:25,Arrival,"Review: Aliens Drop Anchor in ‘Arrival,’ but What Are Their Intentions?",Read the New York Times Review of Arrival,article,http://www.nytimes.com/2016/11/11/movies/arrival-review-amy-adams-jeremy-renner.html,PG-13,,140.0,https://static01.nyt.com/images/2016/11/11/arts/11ARRIVAL/11ARRIVAL-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-11,2016-11-10,"In Denis Villeneuve’s film, Amy Adams plays a linguist struggling to understand interplanetary visitors checking in at 12 spots around the globe."
5,A. O. SCOTT,1,2017-11-02 04:18:26,Elle,"Review: In ‘Elle,’ Isabelle Huppert Subverts the Role of Rape Victim",Read the New York Times Review of Elle,article,http://www.nytimes.com/2016/11/11/movies/elle-review-isabelle-huppert.html,R,,140.0,https://static01.nyt.com/images/2016/11/11/arts/11ELLE/11ELLE-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-11,2016-11-10,"Paul Verhoeven’s film is a psychological thriller, a strangely dry-eyed melodrama, a kinky sex farce and a savage comedy of bourgeois manners."
6,GLENN KENNY,1,2017-11-02 04:18:26,Almost Christmas,"Review: ‘Almost Christmas,’ a Home-for-the-Holidays Comedy",Read the New York Times Review of Almost Christmas,article,http://www.nytimes.com/2016/11/11/movies/almost-christmas-review.html,PG-13,,140.0,https://static01.nyt.com/images/2016/11/11/arts/11ALMOSTCHRISTMAS/11ALMOSTCHRISTMAS-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210.0,2016-11-11,2016-11-10,"David E. Talbert’s film is often disarmingly entertaining, with an appealing and talented cast that includes Danny Glover, Gabrielle Union and Mo’Nique."
7,ANDY WEBSTER,1,2017-11-02 04:18:23,Disturbing the Peace,Review: ‘Disturbing the Peace’ Profiles Israelis and Palestinians United Against Violence,Read the New York Times Review of Disturbing the Peace,article,http://www.nytimes.com/2016/11/11/movies/disturbing-the-peace-review.html,,,140.0,https://static01.nyt.com/images/2016/09/08/movies/video-disturbing-the-peace/video-disturbing-the-peace-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-03-10,2016-11-10,"Combatants for Peace, a group of individuals including many former military enemies in the Middle East, seeks solutions to the region’s agonized convulsions."
8,JEANNETTE CATSOULIS,0,2017-11-02 04:18:26,National Bird,Review: ‘National Bird’ Follows Whistle-Blowers in America’s Drone War,Read the New York Times Review of National Bird,article,http://www.nytimes.com/2016/11/11/movies/national-bird-review.html,Not Rated,,140.0,https://static01.nyt.com/images/2016/11/11/arts/11NATIONALBIRDSUB/11NATIONALBIRDSUB-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210.0,2016-11-11,2016-11-10,Sonia Kennebeck’s elegantly unsettling documentary explores the United States’ reliance on aerial combat drones and the emotional and collateral damage.
9,NEIL GENZLINGER,0,2017-11-02 04:18:25,The Anthropologist,"Review: ‘The Anthropologist’ Tells a Mother-Daughter Story, With Rising Seawater",Read the New York Times Review of The Anthropologist,article,http://www.nytimes.com/2016/11/11/movies/the-anthropologist-review.html,,,140.0,https://static01.nyt.com/images/2016/11/11/arts/11ANTHRO/11ANTHRO-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-11,2016-11-10,This documentary from the makers of “The Linguists” uses subtle juxtaposition to meditate on change and adaptability.
10,NEIL GENZLINGER,0,2017-11-02 04:18:26,Dreamland,Review: A Pianist Adrift Encounters a Cougar in ‘Dreamland’,Read the New York Times Review of Dreamland,article,http://www.nytimes.com/2016/11/11/movies/dreamland-review-robert-schwartzman.html,,,140.0,https://static01.nyt.com/images/2016/11/11/arts/11ANTHRO/11ANTHRO-1478807367261-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-11,2016-11-10,"Robert Schwartzman’s understated sex comedy, his first feature, is a bittersweet study of a man who hasn’t yet taken control of his life."
11,GLENN KENNY,0,2017-11-02 04:18:26,Come and Find Me,"Review: ‘Come and Find Me.’ Then Again, Maybe Not.",Read the New York Times Review of Come and Find Me,article,http://www.nytimes.com/2016/11/11/movies/come-and-find-me-review-aaron-paul.html,R,,140.0,https://static01.nyt.com/images/2016/11/11/arts/11COMEFIND/11COMEFIND-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-11,2016-11-10,"Aaron Paul of “Breaking Bad” and Annabelle Wallis star as a couple torn asunder in this thriller, which Zack Whedon wrote and directed."
12,STEPHEN HOLDEN,0,2017-11-02 04:18:26,Lazy Eye,"Review: In ‘Lazy Eye,’ Yakking Ex-Lovers Reconnect",Read the New York Times Review of Lazy Eye,article,http://www.nytimes.com/2016/11/11/movies/lazy-eye-review.html,,,140.0,https://static01.nyt.com/images/2016/10/07/movies/video-lazy-eye/video-lazy-eye-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210.0,2016-11-11,2016-11-10,"After a graphic designer in California invites his ex-boyfriend to spend the weekend, lovemaking and much talk ensue."
13,GLENN KENNY,0,2017-11-02 04:18:25,Uncle Kent 2,"Review: ‘Uncle Kent 2,’ How’s Your Tolerance for Hipster Milquetoasts?",Read the New York Times Review of Uncle Kent 2,article,http://www.nytimes.com/2016/11/11/movies/uncle-kent-2-review-kent-osborne.html,,,140.0,https://static01.nyt.com/images/2016/11/11/arts/unclekent-trailer/unclekent-trailer-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-08-26,2016-11-10,Kent Osborne returns as the starring character in this sequel to the 2011 film “Uncle Kent.”
14,A. O. SCOTT,0,2017-11-02 04:18:25,Billy Lynn’s Long Halftime Walk,Review: ‘Billy Lynn’s Long Halftime Walk’: Ang Lee’s Super-High-Definition Take on the Iraq War,Read the New York Times Review of Billy Lynn’s Long Halftime Walk,article,http://www.nytimes.com/2016/11/11/movies/oscar-winner-ang-lees-billy-lynns-long-halftime-walk.html,R,,140.0,https://static01.nyt.com/images/2016/11/11/arts/11BILLYLYNN/11BILLYLYNN-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-11,2016-11-10,"“Billy Lynn’s Long Halftime Walk” is Mr. Lee’s film about innocence, adapted from a novel about the gulf that separates modern soldiers from everyone else."
15,MANOHLA DARGIS,1,2017-11-02 04:18:25,Loving,"Review: In ‘Loving,’ They Loved. A Segregated Virginia Did Not Love Them Back.",Read the New York Times Review of Loving,article,http://www.nytimes.com/2016/11/04/movies/loving-review-joel-edgerton-ruth-negga.html,PG-13,,140.0,https://static01.nyt.com/images/2016/11/04/arts/04LOVING/04LOVING-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-04,2016-11-03,"Jeff Nichols’s “Loving” is a fictionalization of the story of Mildred and Richard Loving, an interracial couple whose civil rights case went to the Supreme Court."
16,JEANNETTE CATSOULIS,1,2017-11-02 04:18:25,The Prison in Twelve Landscapes,Review: ‘The Prison in Twelve Landscapes’ Reveals the Invisible Tentacles of Mass Incarceration,Read the New York Times Review of The Prison in Twelve Landscapes,article,http://www.nytimes.com/2016/11/04/movies/the-prison-in-twelve-landscapes-review.html,,,140.0,https://static01.nyt.com/images/2016/11/04/arts/04PRISON/04PRISON-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-04,2016-11-03,An unexpectedly moving look at the elements of the confinement industry that hide in plain sight.
17,MANOHLA DARGIS,1,2017-11-02 04:18:25,Doctor Strange,Review: ‘Doctor Strange’ and His Most Excellent Adventure,Read the New York Times Review of Doctor Strange,article,http://www.nytimes.com/2016/11/04/movies/doctor-strange-review.html,PG-13,,140.0,https://static01.nyt.com/images/2016/11/04/arts/04STRANGE/04STRANGE-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-04,2016-11-03,"This film is so giddily enjoyable and visually transfixing, you might forget that it’s part of Marvel’s strategy for world domination."
18,KEN JAWOROWSKI,0,2017-11-02 04:18:25,The Ivory Game,Review: ‘The Ivory Game’ Follows the Fight to Protect Elephants,Read the New York Times Review of The Ivory Game,article,http://www.nytimes.com/2016/11/04/movies/the-ivory-game-review.html,,,140.0,https://static01.nyt.com/images/2016/11/04/arts/04IVORYGAME/04IVORYGAME-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210.0,2016-11-04,2016-11-03,"This documentary, filmed in Africa and China, ruminates on the high stakes of poachers killing these animals for their tusks."
19,KEN JAWOROWSKI,0,2017-11-02 04:18:25,Ivory. A Crime Story,"Review: ‘Ivory. A Crime Story,’ or the Plight of African Elephants",Read the New York Times Review of Ivory. A Crime Story,article,http://www.nytimes.com/2016/11/04/movies/ivory-a-crime-story-review.html,,,140.0,https://static01.nyt.com/images/2016/11/04/arts/04IVORYCRIME/04IVORYCRIME-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-04,2016-11-03,This documentary from Sergey Yastrzhembsky treats the unpleasant subject of the elephants and ivory smuggling with the harshness it deserves.
0,ANDY WEBSTER,0,2017-11-02 04:18:25,Trolls,Review: The ‘Trolls’ Embark on a High-Haired Rescue Mission,Read the New York Times Review of Trolls,article,http://www.nytimes.com/2016/11/04/movies/trolls-review.html,PG,,140.0,https://static01.nyt.com/images/2016/11/04/arts/04TROLLS/04TROLLS-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-04,2016-11-03,"This DreamWorks film, voiced by stars like Anna Kendrick and Justin Timberlake, follows the adventures of a colorful group and their nemesis."
1,NEIL GENZLINGER,0,2017-11-02 04:18:25,My Dead Boyfriend,"Review: ‘My Dead Boyfriend’ Shares a Life, After the Fact",Read the New York Times Review of My Dead Boyfriend,article,http://www.nytimes.com/2016/11/04/movies/-my-dead-boyfriend-review.html,R,,140.0,https://static01.nyt.com/images/2016/11/04/arts/04MYDEAD/04MYDEAD-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-11-03,2016-11-03,"Heather Graham plays a woman in 1990s New York who begins to learn about her boyfriend only after he’s dead, in this film directed by Anthony Edwards."
